Well_ID,Depth_m,WOB_klbs,RPM,Flow_Rate_gpm,Torque_kftlbs,Mud_Weight_ppg,Formation,Bit_Hours,ROP_m_hr,MSE_psi,Bit_Wear_Norm,Formation_Label,Formation_Chalk,Formation_Claystone,Formation_Dolomite,Formation_Limestone,Formation_Sandstone,Formation_Shale
VOLVE_15_9_F1,2200.82,17.85,71.4,443.1,3.52,10.2,Shale,0.02,21.66,77402.39299294891,0.0005,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2201.37,13.56,74.8,475.4,4.52,9.89,Shale,0.04,23.01,97856.26565281184,0.001,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2202.26,20.91,91.9,463.4,7.02,10.22,Shale,0.07,26.58,161618.9767290969,0.0017500000000000003,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2203.02,22.4,75.1,432.7,7.49,10.39,Shale,0.11,25.01,149815.68305589026,0.00275,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2203.29,22.54,82.4,377.0,5.74,10.48,Shale,0.13,23.66,133206.28983584922,0.0032500000000000003,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2204.27,19.71,83.7,459.7,4.82,9.95,Shale,0.16,24.38,110283.91275609293,0.004,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2205.08,18.94,62.3,416.3,5.52,10.11,Shale,0.2,21.96,104373.25420060451,0.005,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2205.91,22.14,108.7,431.3,7.25,10.11,Shale,0.22,26.09,201066.82334301842,0.0055,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2206.21,23.03,87.1,473.6,2.97,10.26,Shale,0.26,27.56,62764.79818656612,0.006500000000000001,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2206.77,21.66,70.9,511.1,6.79,10.05,Shale,0.31,27.93,114893.03775171653,0.00775,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2207.27,16.48,74.0,452.9,3.94,10.49,Shale,0.32,20.77,93550.29739424649,0.008,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2208.21,19.34,56.1,476.6,3.94,10.24,Shale,0.36,21.73,67918.41958432234,0.009,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2208.92,19.93,68.0,396.6,4.39,10.22,Shale,0.41,23.13,86094.71610664415,0.010249999999999999,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2209.78,14.32,99.7,464.2,5.17,10.48,Shale,0.44,22.73,150909.47367582933,0.011,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2210.34,20.01,118.0,452.0,4.24,10.23,Shale,0.49,26.69,124890.85636397604,0.01225,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2210.72,24.53,95.4,503.6,5.3,10.3,Shale,0.51,27.93,120702.11394491351,0.012750000000000001,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2211.36,20.45,83.1,432.8,5.72,10.12,Shale,0.54,25.58,123812.88669591343,0.013500000000000002,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2211.61,22.53,78.0,444.8,5.46,10.03,Shale,0.56,24.8,114484.77227156128,0.014000000000000002,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2212.48,19.31,70.1,496.8,5.25,10.15,Shale,0.57,24.58,99811.8312425863,0.014249999999999999,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2213.18,18.67,115.4,450.7,5.02,10.57,Shale,0.62,24.55,157098.4587265421,0.0155,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2213.99,19.81,81.6,410.1,5.84,10.33,Shale,0.64,23.95,132539.79693298743,0.016,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2214.47,16.82,116.2,556.5,6.52,10.28,Shale,0.69,25.26,199558.08264484684,0.017249999999999998,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2215.45,16.45,105.4,411.3,6.26,10.09,Shale,0.73,24.11,182101.29691004904,0.01825,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2216.36,22.03,58.3,451.8,5.37,10.38,Shale,0.78,23.05,90623.2848513644,0.0195,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2217.19,22.3,74.5,468.3,6.25,10.04,Shale,0.82,26.59,116730.91780776001,0.020499999999999997,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2217.54,16.39,74.4,465.1,5.64,10.0,Shale,0.86,23.12,120866.70257702575,0.0215,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2218.11,21.29,83.3,446.8,8.38,10.16,Shale,0.91,26.18,177517.6847675137,0.02275,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2218.35,18.66,83.5,447.0,6.39,10.53,Shale,0.95,24.31,146145.03424149982,0.02375,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2218.67,19.72,129.4,445.0,5.61,10.52,Shale,0.98,24.83,194580.87099532443,0.0245,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2219.42,20.03,68.3,409.8,3.73,10.17,Shale,1.01,20.98,81025.83953077097,0.02525,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2220.22,21.37,87.9,540.4,4.93,10.14,Shale,1.03,26.49,109058.49688220302,0.025750000000000002,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2221.19,19.09,93.7,445.6,4.73,9.99,Shale,1.04,25.54,115624.18345868791,0.026000000000000002,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2221.65,22.41,84.4,478.3,5.9,10.25,Shale,1.06,25.98,127733.12187824621,0.026500000000000003,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2222.15,19.66,86.1,441.1,4.22,10.27,Shale,1.09,23.58,102717.0477316235,0.027250000000000003,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2222.72,20.45,68.8,440.3,6.3,10.36,Shale,1.11,23.69,121913.84054794388,0.027750000000000004,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2223.07,16.81,86.0,436.2,3.14,10.38,Shale,1.14,22.42,80315.7455029757,0.028499999999999998,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2223.38,24.29,92.1,392.5,3.61,10.21,Shale,1.18,26.51,83750.20953964657,0.0295,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2223.96,20.07,89.4,448.0,4.98,10.32,Shale,1.21,25.85,114775.7310389775,0.03025,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2224.34,20.68,93.0,438.2,4.24,10.14,Shale,1.26,24.71,106382.39787622532,0.0315,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2225.08,14.88,105.6,501.3,3.41,10.32,Shale,1.31,23.7,101204.55845992327,0.03275,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2225.62,16.85,98.5,406.6,4.23,10.17,Shale,1.35,23.89,116165.02865491911,0.03375,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2226.49,22.0,85.5,431.4,4.35,10.31,Shale,1.39,25.45,97476.91005287372,0.034749999999999996,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2227.25,19.63,66.9,418.5,4.78,10.3,Shale,1.41,24.48,87131.19704333285,0.03525,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2227.7,14.13,75.4,512.2,3.66,10.25,Shale,1.45,21.9,83965.6318638667,0.03625,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2228.57,21.51,81.1,419.7,4.51,10.36,Shale,1.47,25.61,95262.67494913547,0.03675,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2229.41,17.56,88.2,477.0,4.9,10.01,Shale,1.49,23.28,123644.09579871413,0.03725,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2229.92,22.45,77.3,493.3,6.4,10.08,Shale,1.51,25.53,129135.19495224732,0.03775,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2230.35,18.7,70.4,448.6,6.5,10.2,Shale,1.54,21.33,142857.00457983415,0.0385,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2231.1,19.44,66.6,399.4,4.93,10.03,Shale,1.58,22.81,95973.70668644362,0.0395,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2231.41,21.87,59.7,399.9,5.13,10.18,Shale,1.59,23.67,86345.49091245823,0.03975,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2231.77,16.68,80.9,488.9,4.5,10.19,Shale,1.63,20.8,116572.89248110764,0.040749999999999995,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2231.98,16.45,62.4,404.0,4.99,10.44,Shale,1.65,21.16,98052.51912743275,0.041249999999999995,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2232.8,18.44,69.4,470.1,5.17,10.27,Shale,1.67,23.69,100945.89517506807,0.041749999999999995,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2233.54,21.0,78.5,459.0,6.66,10.4,Shale,1.69,25.46,136793.47766086055,0.042249999999999996,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2234.3,15.61,82.4,469.6,2.1,10.29,Shale,1.72,19.59,58958.51567900158,0.043,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2235.13,14.77,90.1,473.3,4.4,10.16,Shale,1.76,23.53,112193.48884055669,0.044,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2235.69,21.0,95.5,417.1,5.73,10.27,Shale,1.77,25.31,144008.03848222372,0.04425,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2236.35,17.44,76.2,415.5,4.68,10.35,Shale,1.79,22.92,103676.16890545803,0.04475,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2236.66,17.97,77.9,483.1,3.66,10.42,Shale,1.8,23.02,82600.90983830934,0.045,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2236.95,14.31,92.5,429.3,3.12,10.23,Shale,1.84,22.01,87364.51878529727,0.046,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2237.69,17.25,73.7,344.5,5.63,10.0,Shale,1.89,22.9,120681.06643970871,0.04725,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2238.26,18.93,72.7,480.4,3.89,9.99,Shale,1.92,23.46,80420.1116120142,0.048,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2238.91,21.28,102.4,413.0,3.34,10.2,Shale,1.96,25.53,89376.85281997052,0.049,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2239.73,17.03,97.7,473.2,6.03,9.9,Shale,2.0,26.01,150778.7725180559,0.05,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2240.43,23.11,93.4,510.2,6.03,10.52,Shale,2.02,26.76,140231.177754805,0.0505,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2241.08,17.25,98.3,455.2,4.89,10.34,Shale,2.04,22.86,140001.78181975626,0.051000000000000004,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2241.72,17.26,54.7,494.3,3.28,10.15,Shale,2.07,21.98,54533.82596801494,0.05175,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2242.17,22.81,104.7,460.6,5.49,10.08,Shale,2.09,28.53,134252.6716646277,0.05225,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2242.39,19.5,90.3,518.0,6.57,10.4,Shale,2.12,26.86,147084.31244223975,0.053000000000000005,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2242.94,17.59,99.6,412.0,3.14,10.08,Shale,2.14,24.31,85778.74521804937,0.053500000000000006,Shale,False,False,False,False,False,True
VOLVE_15_9_F1,2243.31,18.59,90.2,454.2,3.15,10.1,Shale,2.17,21.83,86797.86122717544,0.05425,Shale,False,False,False,False,False,True
