Well_ID,Depth_m,WOB_klbs,RPM,Flow_Rate_gpm,Torque_kftlbs,Mud_Weight_ppg,Formation,Bit_Hours,ROP_m_hr
VOLVE_15_9_F1,2200.82,17.85,71.4,443.1,3.52,10.2,Shale,0.02,21.66
VOLVE_15_9_F1,2201.37,13.56,74.8,475.4,4.52,9.89,Shale,0.04,23.01
VOLVE_15_9_F1,2202.26,20.91,91.9,463.4,7.02,10.22,Shale,0.07,26.58
VOLVE_15_9_F1,2203.02,22.4,75.1,432.7,7.49,10.39,Shale,0.11,25.01
VOLVE_15_9_F1,2203.29,22.54,,377.0,5.74,10.48,Shale,0.13,23.66
VOLVE_15_9_F1,2204.27,19.71,83.7,459.7,4.82,9.95,Shale,0.16,24.38
VOLVE_15_9_F1,2205.08,18.94,62.3,416.3,5.52,10.11,Shale,0.2,21.96
VOLVE_15_9_F1,2205.91,22.14,108.7,431.3,7.25,10.11,Shale,0.22,26.09
VOLVE_15_9_F1,2206.21,23.03,87.1,473.6,2.97,10.26,Shale,0.26,27.56
VOLVE_15_9_F1,2206.77,21.66,70.9,511.1,6.79,10.05,Shale,0.31,27.93
VOLVE_15_9_F1,2207.27,16.48,74.0,452.9,3.94,10.49,Shale,0.32,20.77
VOLVE_15_9_F1,2208.21,19.34,56.1,476.6,3.94,10.24,Shale,0.36,21.73
VOLVE_15_9_F1,2208.92,19.93,68.0,396.6,4.39,10.22,Shale,0.41,23.13
VOLVE_15_9_F1,2209.78,14.32,99.7,464.2,5.17,10.48,Shale,0.44,22.73
VOLVE_15_9_F1,2210.34,20.01,118.0,452.0,4.24,10.23,Shale,0.49,26.69
VOLVE_15_9_F1,2210.72,24.53,95.4,503.6,5.3,10.3,Shale,0.51,27.93
VOLVE_15_9_F1,2211.36,20.45,83.1,432.8,5.72,10.12,Shale,0.54,25.58
VOLVE_15_9_F1,2211.61,22.53,78.0,444.8,5.46,10.03,Shale,0.56,24.8
VOLVE_15_9_F1,2212.48,19.31,70.1,496.8,5.25,10.15,Shale,0.57,24.58
VOLVE_15_9_F1,2213.18,18.67,115.4,450.7,5.02,10.57,Shale,0.62,24.55
VOLVE_15_9_F1,2213.99,19.81,81.6,410.1,5.84,10.33,Shale,0.64,23.95
VOLVE_15_9_F1,2214.47,16.82,116.2,556.5,6.52,10.28,Shale,0.69,25.26
VOLVE_15_9_F1,2215.45,16.45,105.4,411.3,6.26,10.09,Shale,0.73,24.11
VOLVE_15_9_F1,2216.36,22.03,58.3,451.8,5.37,10.38,Shale,0.78,23.05
VOLVE_15_9_F1,2217.19,22.3,74.5,468.3,6.25,10.04,Shale,0.82,26.59
VOLVE_15_9_F1,2217.54,16.39,74.4,465.1,5.64,10.0,Shale,0.86,23.12
VOLVE_15_9_F1,2218.11,21.29,83.3,446.8,8.38,10.16,Shale,0.91,26.18
VOLVE_15_9_F1,2218.35,18.66,83.5,447.0,6.39,10.53,Shale,0.95,24.31
VOLVE_15_9_F1,2218.67,19.72,129.4,445.0,5.61,10.52,Shale,0.98,24.83
VOLVE_15_9_F1,2219.42,20.03,68.3,409.8,3.73,10.17,Shale,1.01,20.98
VOLVE_15_9_F1,2220.22,21.37,87.9,540.4,4.93,10.14,Shale,1.03,26.49
VOLVE_15_9_F1,2221.19,19.09,93.7,445.6,4.73,9.99,Shale,1.04,25.54
VOLVE_15_9_F1,2221.65,22.41,84.4,478.3,5.9,10.25,Shale,1.06,25.98
VOLVE_15_9_F1,2222.15,19.66,86.1,441.1,4.22,10.27,Shale,1.09,23.58
VOLVE_15_9_F1,2222.72,20.45,68.8,440.3,6.3,10.36,Shale,1.11,23.69
VOLVE_15_9_F1,2223.07,16.81,86.0,436.2,3.14,10.38,Shale,1.14,22.42
VOLVE_15_9_F1,2223.38,24.29,92.1,392.5,3.61,10.21,Shale,1.18,26.51
VOLVE_15_9_F1,2223.96,20.07,89.4,448.0,4.98,10.32,Shale,1.21,25.85
VOLVE_15_9_F1,2224.34,20.68,93.0,438.2,4.24,10.14,Shale,1.26,24.71
VOLVE_15_9_F1,2225.08,14.88,105.6,501.3,3.41,10.32,Shale,1.31,23.7
VOLVE_15_9_F1,2225.62,16.85,98.5,406.6,4.23,10.17,Shale,1.35,23.89
VOLVE_15_9_F1,2226.49,22.0,85.5,431.4,4.35,10.31,Shale,1.39,25.45
VOLVE_15_9_F1,2227.25,19.63,66.9,418.5,4.78,10.3,Shale,1.41,24.48
VOLVE_15_9_F1,2227.7,14.13,75.4,512.2,3.66,10.25,Shale,1.45,21.9
VOLVE_15_9_F1,2228.57,21.51,81.1,419.7,4.51,10.36,Shale,1.47,25.61
VOLVE_15_9_F1,2229.41,17.56,88.2,477.0,4.9,10.01,Shale,1.49,23.28
VOLVE_15_9_F1,2229.92,22.45,77.3,493.3,6.4,10.08,Shale,1.51,25.53
VOLVE_15_9_F1,2230.35,18.7,70.4,448.6,6.5,10.2,Shale,1.54,21.33
