,Random_Forest_Importance,XGBoost_Importance
Bit_Hours,0.20657286683644085,0.081810206
Depth_m,0.04779658709357574,0.022339277
Flow_Rate_gpm,0.0038551251519884752,0.002146311
Formation_Chalk,0.012521111782325435,0.051410597
Formation_Claystone,0.00010316347572565601,0.008586398
Formation_Dolomite,0.10824228100059434,0.2928555
Formation_Limestone,0.2090983793099459,0.37722918
Formation_Sandstone,0.0006621118962986892,0.0031581083
Formation_Shale,0.0012504656340534374,0.036589935
MSE_psi,0.3638804808147684,0.1019395
Mud_Weight_ppg,0.0018234893832159975,0.0011214077
RPM,0.024261393277456807,0.010697203
Torque_kftlbs,0.007347994371340074,0.005421793
WOB_klbs,0.012584549972270308,0.0046945596
